Title,Time,Artist,Album,Genre,Plays
Break My Heart,3:42,Dua Lipa,Future Nostalgia,Pop,
The Breakup Song,4:13,"Pritam, Arijit Singh, Badshah, Jonita Gandhi & Nakash Aziz",Ae Dil Hai Mushkil (Deluxe Edition) [Original Motion Picture Soundtrack],Bollywood,1
Brighton Rock,5:10,Queen,Sheer Heart Attack (Deluxe Edition with Bonus Videos),Rock,
Brown Girl in the Ring,4:02,Boney M.,The Greatest Hits,R&B/Soul,
Brown Munde,4:14,"AP Dhillon, Gminxr, Gurinder Gill & Shinda Kahlon",Brown Munde - Single,Hip-Hop/Rap,19
Brown Rang,3:31,Yo Yo Honey Singh,International Villager,Indian Pop,1
Build a Bitch,2:03,Bella Poarch,Build a Bitch - Single,Pop,8
Bulleya,5:49,"Pritam, Amit Mishra & Shilpa Rao",Ae Dil Hai Mushkil (Deluxe Edition) [Original Motion Picture Soundtrack],Bollywood,5
"Bulleya (From ""Ae Dil Hai Mushkil"") [Reprise]",5:49,"Pritam, Arijit Singh & Shilpa Rao",Your's Truly Arijit,Bollywood,5
Bundles (feat. Taylor Girlz),2:35,Kayla Nicole,Bundles (feat. Taylor Girlz) - Single,R&B/Soul,2
Bure Bure and Boro Boro,3:07,Robert Uhlmarash,Bluff Master (Original Motion Picture Soundtrack),Bollywood,2
Burjkhalifa,3:08,"Shashi, DJ Khushi, Nikhita Gandhi & Madhubanti",Laxmii (Original Motion Picture Soundtrack) - EP,Bollywood,
Butter,2:44,BTS,Butter / Permission to Dance - EP,K-Pop,
Buttercup,3:28,Jack Stauber,Pop Food,Pop,
Buttons,3:49,David Davis,Pop Droppin It,Jazz,
Buttons,3:46,The Pussycat Dolls,PCD (Bonus Track Version),Pop,1
Buzz (feat. Badshah),3:14,Aastha Gill,Buzz (feat. Badshah) - Single,Indian Pop,16
Cake By the Ocean,3:39,DNCE,DNCE,Pop,1
Calabria 2007 (Radio Edit),3:53,Enur,Calabria 2007 (feat. Natasja) - EP,Dance,1
Call Me Maybe,3:13,Carly Rae Jepsen,Kiss (Deluxe Version),Pop,1
Can't Feel My Face,3:34,The Weeknd,Beauty Behind the Madness,R&B/Soul,4
Can't Get Enough (feat. Iceberg Slimm),3:21,RAGHAV,Storyteller,Pop,8
Can't Help Falling In Love,2:58,Elvis Presley,Elv1s: 30 #1 Hits,Rock,16
"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"")",3:56,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"") - Single",Pop,6
Candy from Baby / What's In There Is Ours,1:43,Steven Price,"Baby Driver, Vol. 2: The Score for a Score",Soundtrack,
Candy Shop (feat. Olivia),3:27,50 Cent,Best Of 50 Cent,Hip-Hop/Rap,8
Care Ni Karda,3:13,Sweetaj Brar & Yo Yo Honey Singh,Chhalaang (Original Motion Picture Soundtrack),Bollywood,64
Careful! It's My Heart,5:24,Tanmaya Bhatnagar,"Wherever I Go, I'd Like To Be All I Need - EP",Singer/Songwriter,28
Caroline,3:30,Aminé,Good For You,Hip-Hop/Rap,1
Casanova,2:50,King & Rahul Sathu,Casanova - Single,Indian Pop,
Casimir Pulaski Day,5:54,Sufjan Stevens,Illinois,Alternative,1
Castle on the Hill,4:21,Ed Sheeran,÷ (Deluxe),Pop,
Chaand Pe Kadam (Interlude),1:14,Karun & Udbhav,Qabool Hai (Deluxe),Alternative,4
Chaar Botal Vodka,3:46,Yo Yo Honey Singh,Ragini MMS 2 (Original Motion Picture Soundtrack),Bollywood,10
Chad Gayi Hai,3:05,Vishal Dadlani & Sachin-Jigar,Gold (Original Motion Picture Soundtrack),Bollywood,25
Chahun Main Ya Naa,5:05,Palak Muchhal & Arijit Singh,Aashiqui 2 (Original Motion Picture Soundtrack),Bollywood,6
Chaiyya Chaiyya,6:57,Sukhwinder Singh & Sapna Awasthi,Dil Se (Original Motion Picture Soundtrack),Bollywood,
"Chal Wahan Jaate Hain (From ""Chal Wahan Jaate Hain"")",5:26,Arijit Singh,Best of Arijit Singh,Bollywood,1
Chale Jaise Hawaien,5:24,KK & Vasundhara Das,Main Hoon Na (Original Motion Picture Soundtrack),Bollywood,
Challa,5:20,Rabbi,Jab Tak Hai Jaan (Original Soundtrack),Bollywood,3
Challa,3:28,"Romy, Shashwat Sachdev & Vivek Hariharan",Uri - The Surgical Strike (Original Motion Picture Soundtrack) - EP,Bollywood,1
Chalte Chalte (The Unwind Mix),4:38,Abhijeet Sawant,Bollywood Unwind 2,Bollywood,
Chalti Hai Kya 9 Se 12,4:21,Dev Negi & Neha Kakkar,Party Pataka Songs - Diwali Special,Bollywood,2
Chamkeele Chuze (Dino James),3:40,Sarvesh Mishra,Chamkeele Chuze (Dino James) - Single,Hip-Hop/Rap,
Chan Kithan,3:53,Ali Sethi,Chan Kithan - Single,Worldwide,1
chance with you,3:36,mehro,SKY ON FIRE,Alternative,75
Chand Sifarish,4:36,Kailash Kher & Shaan,Fanaa (Original Motion Picture Soundtrack),Bollywood,14
Chandigarh Mein,3:25,"Badshah, Harrdy Sandhu, Lisa Mishra & Asees Kaur",Good Newwz (Original Motion Picture Soundtrack),Bollywood,1
changes,2:02,XXXTENTACION,?,Pop,13
Channa Mereya,4:49,Pritam & Arijit Singh,Ae Dil Hai Mushkil (Deluxe Edition) [Original Motion Picture Soundtrack],Bollywood,2
"Channa Mereya (From ""Ae Dil Hai Mushkil"")",4:49,Arijit Singh & Pritam,"Yours Truly Arijit, Vol. 2",Bollywood,1
Chantaje (feat. Maluma),3:16,Shakira,Chantaje (feat. Maluma) - Single,Pop in Spanish,1
Char Baj Gaye (Lekin Party Abhi Baaki Hai),3:34,Sachin-Jigar & Hard Kaur,F.A.L.T.U (Original Motion Picture Soundtrack),Bollywood,17
Chase Me (feat. Run the Jewels & Big Boi),3:26,Danger Mouse,"Baby Driver, Vol. 2: The Score for a Score",Alternative,
Chase Me (feat. Run The Jewels & Big Boi) [Music From the Motion Picture Baby Driver],3:44,Danger Mouse,Baby Driver (Music from the Motion Picture),Alternative,
Chashni,4:26,Abhijeet Srivastava,Bharat (Original Motion Picture Soundtrack),Bollywood,9
Chaska Ae Yaara Nu,3:04,Raja Baath & Honey Singh,Chaska Ae Yaara Nu,Indian,2
Chat Deni Maar Deli,6:02,Manoj Tiwari,Poorab Ke Beta - Hits of Manoj Tiwari,Indian Folk,
Cheap Thrills,3:32,Sia,This Is Acting,Pop,17
Cheap Thrills (feat. Sean Paul),3:45,Sia,Cheap Thrills (feat. Sean Paul) - Single,Pop,17
Chedkhaniyaan,3:18,"Shankar-Ehsaan-Loy, Shivam Mahadevan & Pratibha Singh Baghel",Bandish Bandits (Original Motion Picture Soundtrack),Bollywood,33
"Chedkhaniyaan (From ""Bandish Bandits"")",2:01,"Shankar Ehsaan Loy, Shivam Mahadevan & Pratibha Singh Baghel",,Bollywood,14
Cheerleader,2:54,Omi,Cheerleader (Remixes) - Single,House,3
